product_id,category_id,description,like_count,product_name,price,quantity,rep_img
68,0,"유무선 :?유선호환 :?Playstation, Xbox, VR, MacOS, Switch드라이버 :?40mm무게 :?220g마이크 :?탈착식, 양지향성연결단자 :?3.5mm(4극)특징 :?네오디뮴마그넷음압감도 :?96dB채널 :?1채널선길이 :?120cm형태 :?밀폐형, 헤드밴드부가기능 :?마이크제공, 볼륨조절, 길이조절밴드, 잡음제거마이크(탈착식)색상 :?블랙제품정보더보기",0,삼성전자 JBL QUANTUM 100,69000,100,https://shopping-phinf.pstatic.net/main_2316162/23161626490.20200715171651.jpg?type=f640
70,0,"유무선 :?유선호환 :?Playstation, Xbox, VR, MacOS, 스마트폰, Switch드라이버 :?50mm무게 :?274g마이크 :?일체형, 회전식, 양지향성연결단자 :?3.5mm(4극)특징 :?네오디뮴마그넷사운드 :?DTS : X음압감도 :?98dB채널 :?7.1채널선길이 :?120cm형태 :?헤드밴드부가기능 :?마이크탑재, 볼륨조절, 길이조절밴드색상 :?블랙제품정보더보기",0,삼성전자 JBL QUANTUM 400,109470,100,https://shopping-phinf.pstatic.net/main_2315953/23159531490.20200715171544.jpg?type=f640
71,0,"채널 :?2.0채널단자 :?오디오, AUX, AUX입력, 스피커, 외부입력(Aux)부가기능 :?LED라이트상태표시 :?LED형태 :?북쉘프타입PC연결 :?3.5mm정격출력 :?20W품목 :?PC스피커색상 :?블랙제품정보더보기",0,삼성전자 JBL QUANTUM DUO,199000,100,https://shopping-phinf.pstatic.net/main_2315944/23159446490.20200715171322.jpg?type=f640
72,0,"유무선 :?유선호환 :?Playstation, Xbox, MacOS, 스마트폰, Switch드라이버 :?50mm무게 :?245g마이크 :?일체형, 회전식, 양지향성특징 :?네오디뮴마그넷음압감도 :?100dB채널 :?7.1채널선길이 :?270cm형태 :?헤드밴드부가기능 :?마이크탑재, 볼륨조절, 길이조절밴드, 잡음제거마이크색상 :?블랙제품정보더보기",0,삼성전자 JBL QUANTUM 300,75000,100,https://shopping-phinf.pstatic.net/main_2312180/23121808490.20201119153101.jpg?type=f640
73,0,"에너지효율 :?2등급용량 :?875L크기 :?91.2 x 185.3 x 93cm도어개수 :?4도어냉장실 :?522L냉동실 :?353L소비전력 :?55.9kWh(월)아이스메이커 :?슬림아이스메이커냉각 :?트리플독립냉각디스플레이 :?히든심플디스플레이컴프레서 :?디지털인버터컴프레서탈취 :?청정탈취Plus도어핸들 :?가로핸들정온기술 :?미세정온기술(냉장,냉동)구조 :?上냉장下냉동색상 :?Panel Ready제품정보더보기",0,삼성전자 비스포크 RF85B9002AP,1599000,100,https://shopping-phinf.pstatic.net/main_3143696/31436969618.20220817172709.jpg?type=f640
74,0,"에너지효율 :?1등급용량 :?875L크기 :?912 x 1,853 x 930mm도어개수 :?4도어냉장실 :?522L냉동실 :?353L소비전력 :?43kWh(월)아이스메이커 :?트위스트아이스메이커냉각 :?트리플독립냉각탈취 :?청정탈취Plus도어핸들 :?가로핸들구조 :?上냉장下냉동색상 :?Panel Ready제품정보더보기",0,삼성전자 비스포크 RF85B90P1AP,1929670,100,https://shopping-phinf.pstatic.net/main_3400414/34004147618.20220812125709.jpg?type=f640
75,0,에너지효율 :?3등급용량 :?615L크기 :?91.2 x 185.3 x 69.7cm도어개수 :?4도어냉장실 :?377L냉동실 :?238L소비전력 :?42kWh(월)아이스메이커 :?트위스트아이스메이커냉각 :?트리플독립냉각디스플레이 :?히든심플디스플레이컴프레서 :?디지털인버터컴프레서탈취 :?청정탈취Plus도어핸들 :?가로핸들내부조명 :?LED구조 :?上냉장下냉동형태 :?키친핏제품정보더보기,0,삼성전자 비스포크 RF60B91C3AP,2048900,100,https://shopping-phinf.pstatic.net/main_3133351/31333513618.20220817172136.jpg?type=f640
76,0,에너지효율 :?4등급용량 :?333L크기 :?59.5 x 185.3 x 66.9cm냉장실 :?227L냉동실 :?106L도어개수 :?2도어내부조명 :?TOPLED냉각 :?멀티냉각도어 :?패널레디디스플레이 :?LED디스플레이서랍 :?야채실아이스메이커 :?아이스트레이컴프레서 :?인버터도어핸들 :?리세스핸들형태 :?세미빌트인소비전력 :?21.3kWh(월)구조 :?上냉장下냉동색상 :?Panel Ready스타일 :?비스포크스타일제품정보더보기,0,삼성전자 비스포크 RB33A3004AP,744190,100,https://shopping-phinf.pstatic.net/main_2730000/27300003524.20220630153258.jpg?type=f640
77,0,"에너지효율 :?1등급용량 :?306L냉장실 :?216L냉동실 :?90L도어개수 :?2도어내부조명 :?TOPLED냉각 :?멀티냉각도어 :?좌우개폐디스플레이 :?내부LED디스플레이서랍 :?야채실, 특선실아이스메이커 :?트위스트아이스메이커(분리형)컴프레서 :?인버터도어핸들 :?리세스핸들재질 :?메탈소비전력 :?18.6kWh(월)구조 :?上냉장下냉동색상 :?Elegant Black제품정보더보기",0,삼성전자 삼성 RB30R4051B1,599000,100,https://shopping-phinf.pstatic.net/main_2085830/20858302566.20220511150123.jpg?type=f640
79,0,에너지효율 :?1등급용량 :?874L크기 :?91.2 x 185.3 x 93cm도어개수 :?4도어냉장실 :?821L냉동실 :?353L소비전력 :?43kWh(월)아이스메이커 :?슬림아이스메이커디스플레이 :?히든심플디스플레이컴프레서 :?디지털인버터컴프레서구조 :?上냉장下냉동형태 :?프리스탠딩제품정보더보기,0,삼성전자 비스포크 RF85B9121AP,1757000,100,https://shopping-phinf.pstatic.net/main_3180181/31801813618.20220413130743.jpg?type=f640
